country,sites_scanned,pqc_total_pct,pqc_via_provider_pct,pqc_own_effort_pct,no_pqc_pct,pqc_via_provider_n,pqc_own_effort_n,no_pqc_n
SLOVENIA,1,100.0,100.0,0.0,0.0,1,0,0
NEW ZEALAND,1,100.0,100.0,0.0,0.0,1,0,0
ISRAEL,1,100.0,100.0,0.0,0.0,1,0,0
IRELAND,1,100.0,100.0,0.0,0.0,1,0,0
HONGKONG,1,100.0,100.0,0.0,0.0,1,0,0
SINGAPORE,3,66.7,66.7,0.0,33.3,2,0,1
INTL,8,62.5,37.5,25.0,37.5,3,2,3
NORWAY,5,60.0,40.0,20.0,40.0,2,1,2
USA,424,53.8,43.4,10.4,46.2,184,44,196
BELGIUM,6,50.0,33.3,16.7,50.0,2,1,3
BRAZIL,86,48.8,47.7,1.2,51.2,41,1,44
MEXICO,82,47.6,45.1,2.4,52.4,37,2,43
UK,92,46.7,44.6,2.2,53.3,41,2,49
AUSTRALIA,92,44.6,42.4,2.2,55.4,39,2,51
SPAIN,84,42.9,39.3,3.6,57.1,33,3,48
CANADA,709,41.5,40.5,1.0,58.5,287,7,415
SWEDEN,93,38.7,32.3,6.5,61.3,30,6,57
POLAND,94,37.2,31.9,5.3,62.8,30,5,59
NETHERLANDS,98,34.7,28.6,6.1,65.3,28,6,64
GERMANY,94,34.0,26.6,7.4,66.0,25,7,62
FRANCE,94,34.0,31.9,2.1,66.0,30,2,62
SWITZERLAND,96,33.3,27.1,6.2,66.7,26,6,64
JAPAN,79,32.9,31.6,1.3,67.1,25,1,53
ITALY,94,31.9,28.7,3.2,68.1,27,3,64
KOREA,72,23.6,19.4,4.2,76.4,14,3,55
TURKEY,87,23.0,21.8,1.1,77.0,19,1,67
INDIA,67,19.4,17.9,1.5,80.6,12,1,54
RUSSIA,78,14.1,2.6,11.5,85.9,2,9,67
CHINA,64,10.9,3.1,7.8,89.1,2,5,57
TAIWAN,1,0.0,0.0,0.0,100.0,0,0,1
QATAR,1,0.0,0.0,0.0,100.0,0,0,1
KAZAKHSTAN,1,0.0,0.0,0.0,100.0,0,0,1
INDONESIA,1,0.0,0.0,0.0,100.0,0,0,1
EU,1,0.0,0.0,0.0,100.0,0,0,1
CZECHIA,1,0.0,0.0,0.0,100.0,0,0,1
ARGENTINA,2,0.0,0.0,0.0,100.0,0,0,2
